Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
517146,Usha Martin Ltd,Stuti Jhawar,Promoter Group,Equity Shares,1204000,0.40,Equity Shares,6000,1980012.00,Acquisition,Equity,1210000,0.40,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
513361,India Steel Works Ltd,Khamgaon Land Development & Trading Company Private Limited,Promoter Group,Equity Shares,18544020,4.66,Equity Shares,7250000,35851238.00,Disposal,Equity,11294020,2.84,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,BSE,25 Mar 2025
513262,Steel Strips Wheels Ltd-$,Priya Garg,Promoter,Equity Shares,820620,0.53,Equity Shares,25000,4868000.00,Acquisition,Equity,845620,0.54,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
513262,Steel Strips Wheels Ltd-$,Chandigarh Developers Private Limited,Promoter Group,Equity Shares,5942348,3.79,Equity Shares,25000,4855750.00,Acquisition,Equity,5967348,3.80,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
512399,Sera Investments & Finance India Ltd,Seraphim Ventures Private Limited,Promoter Group,Equity Shares,10756302,16.55,Equity Shares,62585,2671515.00,Acquisition,Equity,10818887,16.64,20 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
512485,Dhanlaxmi Cotex Ltd,Mahesh Sohanlal Jhawar,Director,Equity Shares,3261768,66.96,Equity Shares,2000,719300.00,Acquisition,Equity,3263768,67.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,Off Market,,,,,,,NA,25 Mar 2025
512493,Garnet International Ltd,Suresh Gaggar HUF,Promoter Group,Equity Shares,169946,0.87,Equity Shares,12000,1411800.00,Disposal,Equity,157946,0.80,25 Mar 2025,25 Mar 2025,25 Mar 2025,Market Sale,,,,,,,BSE,25 Mar 2025
513228,Pennar Industries Ltd-$,Aditya Narsing Rao,Promoter,Equity Shares,8982308,6.65,Equity Shares,8100,1495444.00,Acquisition,Equity,8990408,6.66,25 Mar 2025,25 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
513228,Pennar Industries Ltd-$,Lavanya Kumar Rao Kondapalli,Promoter Group,Equity Shares,188200,0.14,Equity Shares,8100,0.00,Disposal,Equity,180100,0.13,25 Mar 2025,25 Mar 2025,25 Mar 2025,Gift,,,,,,,NA,25 Mar 2025
513228,Pennar Industries Ltd-$,Potluri Venkateswara Rao,Director,Equity Shares,43360,0.03,Equity Shares,10000,1882895.00,Disposal,Equity,33360,0.02,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
530759,Sterling Tools Ltd-$,JAIDEEP WADHWA,Director,Equity Shares,174024,0.48,Equity Shares,15000,5289276.00,Disposal,Equity,159024,0.44,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
530367,NRB Bearings Ltd,Harshbeena Zaveri,Promoter & Director,Equity Shares,13163123,13.58,Equity Shares,6500,1414941.00,Acquisition,Equity,13169623,13.59,25 Mar 2025,25 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
530367,NRB Bearings Ltd,Harshbeena Zaveri,Promoter & Director,Equity Shares,13157723,13.58,Equity Shares,5400,1195769.00,Acquisition,Equity,13163123,13.58,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
530365,Orient Bell Ltd-$,Anil Agarwal,Designated Person,Equity Shares,57279,0.39,Equity Shares,4000,983960.00,Disposal,Equity,53279,0.36,21 Mar 2025,21 Mar 2025,25 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
530365,Orient Bell Ltd-$,Anil Agarwal,Designated Person,Equity Shares,53279,0.36,Equity Shares,1694,423161.00,Disposal,Equity,51585,0.35,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,BSE,25 Mar 2025
530365,Orient Bell Ltd-$,Anil Agarwal,Designated Person,Equity Shares,51585,0.35,Equity Shares,3306,825674.00,Disposal,Equity,48279,0.33,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
530217,Swojas Foods Ltd,PARTHRAJSINH HARSHADSINH RANA,Promoter & Director,Equity Shares,9874743,31.89,Equity Shares,525000,7901250.00,Disposal,Equity,9349743,30.19,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,BSE,25 Mar 2025
532230,Bengal Tea & Fabrics Ltd,ADARSH KANORIA,Promoter & Director,Equity Shares,536137,5.95,Equity Shares,61000,9272000.00,Acquisition,Equity,597137,6.63,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
532541,Coforge Ltd,Milan Gandhi,Designated Person,Equity Shares,913,0.00,Equity Shares,909,6968394.00,Disposal,Equity,4,0.00,21 Mar 2025,21 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
532290,BLB Ltd,Brij Rattan Bagri,Promoter & Director,Equity Shares,21618443,40.90,Equity Shares,55000,953700.00,Acquisition,Equity,21673443,41.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
532742,Paushak Ltd,Chirayu Ramanbhai Amin HUF,Promoter Group,Equity Shares,20022,0.65,Equity Shares,600,2371323.00,Acquisition,Equity,20622,0.67,21 Mar 2025,21 Mar 2025,23 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
532809,Firstsource Solutions Ltd,Firstsource Employee Benefit Trust,Trust,Equity Shares,7670661,1.10,Equity Shares,189425,1925750.00,Disposal,Equity,7481236,1.07,19 Mar 2025,19 Mar 2025,19 Mar 2025,Off Market,,,,,,,NA,25 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Ashokkumar Chopra,Director,Equity Shares,19979,0.01,Equity Shares,14929,25071992.00,Revoke,Equity,19979,0.01,24 Mar 2025,24 Mar 2025,25 Mar 2025,Revocation Of Pledge,,,,,,,NA,25 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Ashokkumar Chopra,Director,Equity Shares,19979,0.01,Equity Shares,14929,25071992.00,Disposal,Equity,5050,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
511754,Shalibhadra Finance Ltd,Dhruvil Minesh Doshi,Promoter Group,Equity Shares,49796,0.64,Equity Shares,3000,1618500.00,Acquisition,Equity,52796,0.68,25 Mar 2025,25 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
508989,Navneet Education Ltd,Navneet Foundation,Promoter Group,Equity Shares,90625,0.04,Equity Shares,90625,12386808.00,Disposal,Equity,0,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
509040,Netlink Solutions India Ltd,Jineshvar Securities Private Limited,Promoter,Equity Shares,341849,13.51,Equity Shares,10000,1195000.00,Disposal,Equity,331849,13.12,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,25 Mar 2025
507753,TGV Sraac Ltd,TGV PROJECTS AND INVESTMENTS PVT LTD,Promoter Group,Equity Shares,11916643,11.13,Equity Shares,14714,1530531.00,Acquisition,Equity,11931357,11.14,24 Mar 2025,25 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
500202,India Lease Development Ltd,RAJIV GUPTA,Promoter,Equity Shares,884842,6.02,Equity Shares,1203,12000.00,Acquisition,Equity,886045,6.03,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
500034,Bajaj Finance Ltd,Amisha Jain,Employees Immediate Relative,Equity Shares,13700,0.00,Equity Shares,6700,60908762.00,Disposal,Equity,7000,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
500247,Kotak Mahindra Bank Ltd,Venkattu Srinivasan,Connected Person,Equity Shares,164867,0.00,Equity Shares,10000,20600000.00,Disposal,Equity,154867,0.00,22 Mar 2025,22 Mar 2025,23 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
500247,Kotak Mahindra Bank Ltd,Bhaskaran V,Connected Person,Equity Shares,38000,0.00,Equity Shares,1000,2179000.00,Disposal,Equity,37000,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
500247,Kotak Mahindra Bank Ltd,Venkattu Srinivasan,Connected Person,Equity Shares,154867,0.00,Equity Shares,13000,27300000.00,Disposal,Equity,141867,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
500331,Pidilite Industries Ltd,Saswata Dhar,Employee,Equity Shares,1600,0.00,Equity Shares,900,900.00,Acquisition,Equity,2500,0.00,25 Mar 2025,25 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500331,Pidilite Industries Ltd,Yogesh Anand,Employee,Equity Shares,4320,0.00,Equity Shares,300,300.00,Acquisition,Equity,4620,0.00,25 Mar 2025,25 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500215,Sundrop Brands Ltd,Infinity Portfolio Holdings,Promoter Group,Equity Shares,129406,0.34,Equity Shares,25000,20153165.00,Acquisition,Equity,154406,0.41,20 Mar 2025,24 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
500412,Thirumalai Chemicals Ltd,Bhooma Parthasarathy,Promoter Group,Equity Shares,1460500,1.43,Equity Shares,690850,0.00,Disposal,Equity,769650,0.75,21 Mar 2025,21 Mar 2025,22 Mar 2025,Gift,,,,,,,NA,25 Mar 2025
500412,Thirumalai Chemicals Ltd,Bhooma Parthasarathy,Promoter Group,Equity Shares,769650,0.75,Equity Shares,730450,0.00,Disposal,Equity,39200,0.04,21 Mar 2025,21 Mar 2025,22 Mar 2025,Gift,,,,,,,NA,25 Mar 2025
500412,Thirumalai Chemicals Ltd,Meera Parthasarathy Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,690850,0.00,Acquisition,Equity,690850,0.67,21 Mar 2025,21 Mar 2025,22 Mar 2025,Gift,,,,,,,NA,25 Mar 2025
500412,Thirumalai Chemicals Ltd,Tara Parthasarathy Family Trust,Promoter Group,Equity Shares,0,0.00,Equity Shares,730450,0.00,Acquisition,Equity,730450,0.71,21 Mar 2025,21 Mar 2025,22 Mar 2025,Gift,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Abhay Kulkarni,Designated Person,Equity Shares,64261,0.01,Equity Shares,1485,4121618.00,Acquisition,Equity,65746,0.01,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Abhinandan Somani,Designated Person,Equity Shares,1728,0.00,Equity Shares,434,1204567.00,Acquisition,Equity,2162,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Abhiyan Adhikari,Designated Person,Equity Shares,2092,0.00,Equity Shares,692,1920646.00,Acquisition,Equity,2784,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Amit Gupta,Designated Person,Equity Shares,370,0.00,Equity Shares,370,1026935.00,Acquisition,Equity,740,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Amit Kumar,Designated Person,Equity Shares,2838,0.00,Equity Shares,530,1471015.00,Acquisition,Equity,3368,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Ashish Arekar,Designated Person,Equity Shares,935,0.00,Equity Shares,2688,7460544.00,Acquisition,Equity,3623,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Binoy Paul,Designated Person,Equity Shares,0,0.00,Equity Shares,1000,2775500.00,Acquisition,Equity,1000,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Devendra Bharambe,Designated Person,Equity Shares,6782,0.00,Equity Shares,647,1795749.00,Acquisition,Equity,7429,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,K Prasad,Designated Person,Equity Shares,15260,0.00,Equity Shares,1126,3125213.00,Acquisition,Equity,16386,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Madhavi Nadkarni,Designated Person,Equity Shares,1173,0.00,Equity Shares,500,1387750.00,Acquisition,Equity,1673,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Manoj Gauba,Designated Person,Equity Shares,7885,0.00,Equity Shares,1084,3008642.00,Acquisition,Equity,8969,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Manoj Varghese,Designated Person,Equity Shares,3808,0.00,Equity Shares,560,1554280.00,Acquisition,Equity,4368,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Mohit Kapoor,Designated Person,Equity Shares,33177,0.00,Equity Shares,6070,16847285.00,Acquisition,Equity,39247,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Mukund Paranjape,Designated Person,Equity Shares,9044,0.00,Equity Shares,150,396525.00,Acquisition,Equity,9194,0.00,13 Mar 2025,13 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Mukund Paranjape,Designated Person,Equity Shares,9194,0.00,Equity Shares,500,1387750.00,Acquisition,Equity,9694,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Naveen Raju,Designated Person,Equity Shares,9754,0.00,Equity Shares,6373,17688262.00,Acquisition,Equity,16127,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Rajashree V. Ansurkar,Designated Person,Equity Shares,5143,0.00,Equity Shares,729,2023340.00,Acquisition,Equity,5872,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Sanket Patil,Designated Person,Equity Shares,0,0.00,Equity Shares,2665,7396708.00,Acquisition,Equity,2665,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Senthil Kumar T,Designated Person,Equity Shares,50,0.00,Equity Shares,100,264350.00,Acquisition,Equity,150,0.00,13 Mar 2025,13 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Senthil Kumar T,Designated Person,Equity Shares,150,0.00,Equity Shares,867,2406359.00,Acquisition,Equity,1017,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Shriprakash Shukla,Designated Person,Equity Shares,97623,0.01,Equity Shares,2000,5551000.00,Acquisition,Equity,99623,0.01,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Sitaramayya Vetsa,Designated Person,Equity Shares,8416,0.00,Equity Shares,300,863483.00,Disposal,Equity,8116,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Sale,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Sitaramayya Vetsa,Designated Person,Equity Shares,8116,0.00,Equity Shares,754,2092727.00,Acquisition,Equity,8870,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Sriram Ramachandran,Designated Person,Equity Shares,30150,0.00,Equity Shares,5783,16050717.00,Acquisition,Equity,35933,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Suman Mishra,Designated Person,Equity Shares,37861,0.00,Equity Shares,6306,17502303.00,Acquisition,Equity,44167,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,V Jose Ebenezer,Designated Person,Equity Shares,13340,0.00,Equity Shares,1212,3363906.00,Acquisition,Equity,14552,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Vinay Khanolkar,Designated Person,Equity Shares,16204,0.00,Equity Shares,500,1387750.00,Acquisition,Equity,16704,0.00,24 Mar 2025,24 Mar 2025,25 Mar 2025,ESOP,,,,,,,NA,25 Mar 2025
502168,NCL Industries Ltd-$,P Narasimha Raju,Director,Equity Shares,521010,1.15,Equity Shares,6465,1236194.00,Disposal,Equity,514545,1.14,24 Mar 2025,24 Mar 2025,25 Mar 2025,Invocation Of Pledged,,,,,,,NSE,25 Mar 2025
503229,Simplex Realty Ltd,Shashi Amit Patodia,Promoter Group,Equity Shares,44776,1.50,Equity Shares,200,43750.00,Acquisition,Equity,44976,1.50,24 Mar 2025,24 Mar 2025,25 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
505302,Lakshmi Engineering And Warehousing Ltd,SMT AISHWARYA PATHY,Promoter & Director,Equity Shares,107821,16.12,Equity Shares,55,114179.00,Acquisition,Equity,107876,16.13,19 Mar 2025,20 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,BSE,25 Mar 2025
500800,Tata Consumer Products Ltd,Ajit Krishnakumar,Director,Equity Shares,4450,0.00,Equity Shares,4450,4247792.00,Disposal,Equity,0,0.00,20 Mar 2025,20 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,25 Mar 2025
501423,Shaily Engineering Plastics Ltd,Ruchita Sharma,Employee,Equity Shares,0,0.00,Equity Shares,33,59004.00,Acquisition,Equity,33,0.00,20 Mar 2025,20 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,25 Mar 2025
500650,Excel Industries Ltd,Malti Dilipsinh Bhatia,Promoters Immediate Relative,Equity Shares,0,0.00,Equity Shares,104082,1.00,Acquisition,Equity,104082,0.83,20 Mar 2025,20 Mar 2025,24 Mar 2025,Off Market,,,,,,,NA,25 Mar 2025
500520,Mahindra & Mahindra Ltd,Mahindra & Mahindra Employees’ Stock Option Trust,Trust,Equity Shares,42830467,3.44,Equity Shares,85425,395510.00,Disposal,Equity,42745042,3.44,24 Mar 2025,24 Mar 2025,24 Mar 2025,ESOP,,,,,,,NA,24 Mar 2025
500520,Mahindra & Mahindra Ltd,Nidhi Seksaria,Designated Person,Equity Shares,1037,0.00,Equity Shares,1466,4068883.00,Acquisition,Equity,2503,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,ESOP,,,,,,,NA,24 Mar 2025
500520,Mahindra & Mahindra Ltd,Roshni Contractor,Designated Person,Equity Shares,9768,0.00,Equity Shares,412,1143506.00,Acquisition,Equity,10180,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,ESOP,,,,,,,NA,24 Mar 2025
500520,Mahindra & Mahindra Ltd,Vinod Sahay,Designated Person,Equity Shares,6799,0.00,Equity Shares,2000,5551000.00,Acquisition,Equity,8799,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,ESOP,,,,,,,NA,24 Mar 2025
500331,Pidilite Industries Ltd,Radha Singh,Promoter Group,Equity Shares,19000,0.00,Equity Shares,7000,19203561.00,Disposal,Equity,12000,0.00,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500331,Pidilite Industries Ltd,Radha Singh,Promoter Group,Equity Shares,12000,0.00,Equity Shares,12000,32887984.00,Disposal,Equity,0,0.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500331,Pidilite Industries Ltd,Shivan Singh,Promoter Group,Equity Shares,19000,0.00,Equity Shares,7000,19189685.00,Disposal,Equity,12000,0.00,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500331,Pidilite Industries Ltd,Shivan Singh,Promoter Group,Equity Shares,12000,0.00,Equity Shares,12000,32889842.00,Disposal,Equity,0,0.00,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500014,Utique Enterprises Ltd,HONCHO TRADING PVT. LTD.,Promoter,Equity Shares,267553,0.48,Equity Shares,80171,337878.00,Disposal,Equity,187382,0.34,18 Mar 2025,18 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
500014,Utique Enterprises Ltd,HONCHO TRADING PVT. LTD.,Promoter,Equity Shares,187382,0.34,Equity Shares,131960,533075.00,Disposal,Equity,55422,0.10,19 Mar 2025,19 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
500014,Utique Enterprises Ltd,HONCHO TRADING PVT. LTD.,Promoter,Equity Shares,55422,0.10,Equity Shares,21991,88004.00,Disposal,Equity,33431,0.06,20 Mar 2025,20 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
500014,Utique Enterprises Ltd,HONCHO TRADING PVT. LTD.,Promoter,Equity Shares,33431,0.06,Equity Shares,33431,133885.00,Disposal,Equity,0,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,BSE,24 Mar 2025
500180,HDFC Bank Ltd,CHAKRAPANI VENKATACHARI,Other,Equity Shares,92684,0.00,Equity Shares,15000,26372550.00,Disposal,Equity,77684,0.00,20 Mar 2025,20 Mar 2025,20 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500180,HDFC Bank Ltd,Lopa Ruparel,Other,Equity Shares,131450,0.00,Equity Shares,2000,3510508.00,Disposal,Equity,129450,0.00,20 Mar 2025,20 Mar 2025,22 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500180,HDFC Bank Ltd,Lopa Ruparel,Other,Equity Shares,129450,0.00,Equity Shares,1000,1766397.00,Disposal,Equity,128450,0.00,21 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500180,HDFC Bank Ltd,Vaishali Vyas,Other,Equity Shares,310,0.00,Equity Shares,50,88600.00,Disposal,Equity,260,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
500180,HDFC Bank Ltd,CHAKRAPANI VENKATACHARI,Other,Equity Shares,77684,0.00,Equity Shares,17500,31467450.00,Disposal,Equity,60184,0.00,24 Mar 2025,24 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
508869,Apollo Hospitals Enterprise Ltd,KARTHIK ANAND,Promoter,Equity Shares,345238,0.24,Equity Shares,929,5960000.00,Acquisition,Equity,346167,0.24,19 Mar 2025,19 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Ashokkumar Chopra,Director,Equity Shares,42979,0.03,Equity Shares,23000,37735322.00,Revoke,Equity,42979,0.03,21 Mar 2025,21 Mar 2025,21 Mar 2025,Revocation Of Pledge,,,,,,,NA,24 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Kanabar Chetan Kantibhai,Designated Person,Equity Shares,2470,0.00,Equity Shares,1240,2012800.00,Revoke,Equity,2470,0.00,19 Mar 2025,21 Mar 2025,22 Mar 2025,Revocation Of Pledge,,,,,,,NA,24 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Ashokkumar Chopra,Director,Equity Shares,42979,0.03,Equity Shares,23000,37735322.00,Disposal,Equity,19979,0.01,21 Mar 2025,21 Mar 2025,21 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Kanabar Chetan Kantibhai,Designated Person,Equity Shares,2470,0.00,Equity Shares,1240,2012800.00,Disposal,Equity,1230,0.00,19 Mar 2025,21 Mar 2025,22 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Jason Nestor Vincent D'Souza,Designated Person,Equity Shares,6000,0.00,Equity Shares,2500,4121589.00,Revoke,Equity,6000,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Revocation Of Pledge,,,,,,,NA,24 Mar 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Jason Nestor Vincent D'Souza,Designated Person,Equity Shares,6000,0.00,Equity Shares,2500,4121589.00,Disposal,Equity,3500,0.00,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Sale,,,,,,,NSE,24 Mar 2025
505400,Texmaco Infrastructure & Holdings Ltd,Adventz Finance Private Limited,Promoter Group,Equity Shares,21166148,16.61,Equity Shares,31000,3187973.00,Acquisition,Equity,21197148,16.63,21 Mar 2025,21 Mar 2025,24 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
506197,Bliss GVS Pharma Ltd,Mrs. Vibha Gagan Sharma,Promoter & Director,Equity Shares,2550000,2.42,Equity Shares,25000,3065691.00,Acquisition,Equity,2575000,2.44,21 Mar 2025,21 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
506197,Bliss GVS Pharma Ltd,Mrs. Vibha Gagan Sharma,Promoter & Director,Equity Shares,2475000,2.35,Equity Shares,75000,9047160.00,Acquisition,Equity,2550000,2.42,20 Mar 2025,20 Mar 2025,21 Mar 2025,Market Purchase,,,,,,,NSE,24 Mar 2025
