Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
500458,Kore Foods Ltd,TEAM24 FOODS AND BEVERAGES PRIVATE LIMITED,Other,Equity Shares,14530438,56.65,Equity Shares,2531023,4834254.00,Acquisition,Equity,17061461,65.52,25 Apr 2025,25 Apr 2025,28 Apr 2025,Off Market,,,,,,,NA,29 Apr 2025
526251,Mid East Portfolio Management Ltd,KISHOR A SHAH,Promoter Group,Equity Shares,904400,17.98,Equity Shares,27000,533250.00,Disposal,Equity,877400,17.44,29 Apr 2025,29 Apr 2025,29 Apr 2025,Market Sale,,,,,,,BSE,29 Apr 2025
522257,Rajoo Engineers Ltd-$,Kanchanben Jayantilal Zalavadia,Immediate Relative,Equity Shares,0,0.00,Equity Shares,4000,435250.00,Acquisition,Equity,4000,0.00,11 Mar 2025,18 Mar 2025,29 Apr 2025,Market Purchase,,,,,,,BSE,29 Apr 2025
522257,Rajoo Engineers Ltd-$,Kanchanben Jayantilal Zalavadia,Immediate Relative,Equity Shares,4000,0.00,Equity Shares,4000,649209.00,Disposal,Equity,0,0.00,28 Apr 2025,28 Apr 2025,29 Apr 2025,Market Sale,,,,,,,BSE,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Ratna Deep Gupta,Employee,Equity Shares,0,0.00,Equity Shares,16980,1973076.00,Acquisition,Equity,16980,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Dilip Kumar Mishra,Employee,Equity Shares,5000,0.00,Equity Shares,15570,1809234.00,Acquisition,Equity,20570,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Mahendra Gupta,Employee,Equity Shares,11250,0.00,Equity Shares,39075,4540515.00,Acquisition,Equity,50325,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Sanjay Bothra,KMP,Equity Shares,0,0.00,Equity Shares,29965,3481933.00,Acquisition,Equity,29965,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Yarra Chandra Rao,KMP,Equity Shares,5465,0.00,Equity Shares,21000,2440200.00,Acquisition,Equity,26465,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Sudeep Chakraborty,Employee,Equity Shares,0,0.00,Equity Shares,12285,1427517.00,Acquisition,Equity,12285,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Manish Bohra,Employee,Equity Shares,15685,0.00,Equity Shares,13035,1514667.00,Acquisition,Equity,28720,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Mahavratayajul Sudhakar,Employee,Equity Shares,0,0.00,Equity Shares,12535,1456567.00,Acquisition,Equity,12535,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Dinesh Kumar Gandhi,Director,Equity Shares,0,0.00,Equity Shares,15000,1743000.00,Acquisition,Equity,15000,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Neeraj Gupta,Designated Person,Equity Shares,0,0.00,Equity Shares,15638,1817136.00,Acquisition,Equity,15638,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Dilip Kumar Chauhan,Designated Person,Equity Shares,0,0.00,Equity Shares,12500,1452500.00,Acquisition,Equity,12500,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532734,Godawari Power and Ispat Ltd,Mohit Chande,Designated Person,Equity Shares,270,0.00,Equity Shares,10000,1162000.00,Acquisition,Equity,10270,0.00,25 Apr 2025,25 Apr 2025,29 Apr 2025,ESOP,,,,,,,NA,29 Apr 2025
532777,Info Edge (India) Ltd,Info Edge Employees Stock Option Plan Trust,Trust,Equity Shares,149745,0.12,Equity Shares,1967,19670.00,Disposal,Equity,147778,0.11,24 Apr 2025,24 Apr 2025,26 Apr 2025,ESOP,,,,,,,NA,28 Apr 2025
524610,Rathi Graphic Technologies Ltd,Surbhika Steels Private Limited,Promoter,Equity Shares,0,0.00,Equity Shares,203877,2038770.00,Acquisition,Equity,203877,15.00,24 Apr 2025,24 Apr 2025,28 Apr 2025,Allotment,,,,,,,NA,28 Apr 2025
524610,Rathi Graphic Technologies Ltd,Daga Infrastructure Private Limited,Promoter,Equity Shares,0,0.00,Equity Shares,990913,9909130.00,Acquisition,Equity,990913,72.91,24 Apr 2025,24 Apr 2025,28 Apr 2025,Allotment,,,,,,,NA,28 Apr 2025
500209,Infosys Ltd,Infosys Employee Benefits Trust,Trust,Equity Shares,9655927,0.23,Equity Shares,134,196846.00,Disposal,Equity,9655793,0.23,23 Apr 2025,23 Apr 2025,24 Apr 2025,Off Market,,,,,,,NA,28 Apr 2025
500209,Infosys Ltd,Sunil Senan,Designated Person,Equity Shares,11350,0.00,Equity Shares,1500,2228781.00,Disposal,Equity,9850,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Market Sale,,,,,,,NA,28 Apr 2025
500209,Infosys Ltd,Infosys Employee Benefits Trust,Trust,Equity Shares,9655793,0.23,Equity Shares,161,239085.00,Disposal,Equity,9655632,0.23,25 Apr 2025,25 Apr 2025,28 Apr 2025,Off Market,,,,,,,NA,28 Apr 2025
500209,Infosys Ltd,Infosys Employee Benefits Trust,Trust,Equity Shares,9655632,0.23,Equity Shares,34920,51827810.00,Disposal,Equity,9620712,0.23,25 Apr 2025,25 Apr 2025,28 Apr 2025,Off Market,,,,,,,NA,28 Apr 2025
540730,Mehai Technology Ltd,Dynamic Services & Security Limited,Promoter,(OCPS)Preference Shares,155861170,49.66,OCPS Preference Shares,32000000,3.00,Acquisition,-,187861170,54.23,23 Apr 2025,23 Apr 2025,25 Apr 2025,Conversion of security,,,,,,,BSE,28 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,R SELVARAJAN,Promoter & Director,Equity Shares,778730,20.23,Equity Shares,778730,12459680.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,S VIJAY SHANKAR,Promoter,Equity Shares,409582,10.64,Equity Shares,409582,6553312.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,S SIVAKUMAR,Promoter & Director,Equity Shares,288033,7.48,Equity Shares,288033,4608528.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,DINAKARAN SAMBANDAM,Promoter,Equity Shares,117716,3.06,Equity Shares,117716,1883456.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,DEVARAJAN  SAMBANDAM,Promoter & Director,Equity Shares,139137,3.62,Equity Shares,139137,2226192.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,JEGARAJAN  SAMBANDAM,Promoter,Equity Shares,113307,2.94,Equity Shares,113307,1812912.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,S NIRMALA,Promoter,Equity Shares,113040,2.94,Equity Shares,113040,1808640.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,S SWETHA,Promoter,Equity Shares,102567,2.66,Equity Shares,102567,1641072.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,R SELVARAJAN HUF,Promoter,Equity Shares,65520,1.70,Equity Shares,65520,1048320.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,A  SARAYU,Promoter & Director,Equity Shares,53090,1.38,Equity Shares,53090,849440.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,KALAVATHI S,Promoter,Equity Shares,37930,0.99,Equity Shares,37930,606880.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,R MALARSELVI,Promoter,Equity Shares,35159,0.91,Equity Shares,35159,562544.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,S BALAMANI,Promoter,Equity Shares,30000,0.78,Equity Shares,30000,480000.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,D SENTHILNATHAN,Promoter,Equity Shares,17220,0.45,Equity Shares,17220,275520.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,PARAMESWARI  J,Promoter,Equity Shares,15300,0.40,Equity Shares,15300,244800.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,SAKTHIVEL  J,Promoter,Equity Shares,2000,0.05,Equity Shares,2000,32000.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
521242,Kandagiri Spinning Mills Ltd-$,SUDHARSAN  D,Promoter,Equity Shares,2000,0.05,Equity Shares,2000,32000.00,Disposal,Equity,0,0.00,24 Apr 2025,24 Apr 2025,25 Apr 2025,Off Market,,,,,,,NA,27 Apr 2025
